side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,structure,strike,expiry,iv,rolls,prem_in,prem_out,pnl_pts,pnl_rs,debit
LONG,2026-06-19 15:00:00+05:30,2026-06-19 15:15:00+05:30,2026-06-23 11:45:00+05:30,24042.4,23904.45,23982.65,ST_FLIP,-59.75,137.95,-0.433,naked_call_buy,24050,2026-06-25 15:30:00+05:30,0.147,0,190.12,80.74,-112.09,-8407.0,True
LONG,2026-06-19 15:00:00+05:30,2026-06-19 15:15:00+05:30,2026-06-23 11:45:00+05:30,24042.4,23904.45,23982.65,ST_FLIP,-59.75,137.95,-0.433,naked_put_sell,24050,2026-06-25 15:30:00+05:30,0.147,0,-171.99,-138.85,30.03,2252.0,False
LONG,2026-06-19 15:00:00+05:30,2026-06-19 15:15:00+05:30,2026-06-23 11:45:00+05:30,24042.4,23904.45,23982.65,ST_FLIP,-59.75,137.95,-0.433,bull_call_spread,24050,2026-06-25 15:30:00+05:30,0.147,0,85.02,56.26,-30.17,-2263.0,True
LONG,2026-06-19 15:00:00+05:30,2026-06-19 15:15:00+05:30,2026-06-23 11:45:00+05:30,24042.4,23904.45,23982.65,ST_FLIP,-59.75,137.95,-0.433,bull_put_spread,24050,2026-06-25 15:30:00+05:30,0.147,0,-80.21,-88.27,-9.74,-730.0,False
LONG,2026-06-24 10:15:00+05:30,2026-06-24 11:00:00+05:30,2026-06-25 14:00:00+05:30,23970.1,23910.9,24138.65,ST_FLIP,168.55,59.2,2.847,naked_call_buy,23950,2026-06-25 15:30:00+05:30,0.1485,0,94.17,188.92,91.92,6894.0,True
LONG,2026-06-24 10:15:00+05:30,2026-06-24 11:00:00+05:30,2026-06-25 14:00:00+05:30,23970.1,23910.9,24138.65,ST_FLIP,168.55,59.2,2.847,naked_put_sell,23950,2026-06-25 15:30:00+05:30,0.1485,0,-69.01,-0.0,68.32,5124.0,False
LONG,2026-06-24 10:15:00+05:30,2026-06-24 11:00:00+05:30,2026-06-25 14:00:00+05:30,23970.1,23910.9,24138.65,ST_FLIP,168.55,59.2,2.847,bull_call_spread,23950,2026-06-25 15:30:00+05:30,0.1485,0,72.07,175.21,100.67,7550.0,True
LONG,2026-06-24 10:15:00+05:30,2026-06-24 11:00:00+05:30,2026-06-25 14:00:00+05:30,23970.1,23910.9,24138.65,ST_FLIP,168.55,59.2,2.847,bull_put_spread,23950,2026-06-25 15:30:00+05:30,0.1485,0,-55.51,-0.0,54.96,4122.0,False
LONG,2026-07-01 11:00:00+05:30,2026-07-01 11:15:00+05:30,2026-07-03 14:15:00+05:30,24020.5,23975.2,24267.8,ST_FLIP,247.3,45.3,5.459,naked_call_buy,24000,2026-07-02 15:30:00+05:30,0.1328,1,85.71,247.9,120.0,9000.0,True
LONG,2026-07-01 11:00:00+05:30,2026-07-01 11:15:00+05:30,2026-07-03 14:15:00+05:30,24020.5,23975.2,24267.8,ST_FLIP,247.3,45.3,5.459,naked_put_sell,24000,2026-07-02 15:30:00+05:30,0.1328,1,-60.18,-104.09,107.96,8097.0,False
LONG,2026-07-01 11:00:00+05:30,2026-07-01 11:15:00+05:30,2026-07-03 14:15:00+05:30,24020.5,23975.2,24267.8,ST_FLIP,247.3,45.3,5.459,bull_call_spread,24000,2026-07-02 15:30:00+05:30,0.1328,1,69.36,107.52,111.74,8381.0,True
LONG,2026-07-01 11:00:00+05:30,2026-07-01 11:15:00+05:30,2026-07-03 14:15:00+05:30,24020.5,23975.2,24267.8,ST_FLIP,247.3,45.3,5.459,bull_put_spread,24000,2026-07-02 15:30:00+05:30,0.1328,1,-51.07,-56.66,67.37,5053.0,False
LONG,2026-07-06 09:15:00+05:30,2026-07-06 09:30:00+05:30,2026-07-07 15:00:00+05:30,24359.1,24290.05,24397.85,ST_FLIP,38.75,69.05,0.561,naked_call_buy,24350,2026-07-09 15:30:00+05:30,0.1339,0,134.7,120.47,-16.78,-1258.0,True
LONG,2026-07-06 09:15:00+05:30,2026-07-06 09:30:00+05:30,2026-07-07 15:00:00+05:30,24359.1,24290.05,24397.85,ST_FLIP,38.75,69.05,0.561,naked_put_sell,24350,2026-07-09 15:30:00+05:30,0.1339,0,-111.51,-63.86,45.9,3442.0,False
LONG,2026-07-06 09:15:00+05:30,2026-07-06 09:30:00+05:30,2026-07-07 15:00:00+05:30,24359.1,24290.05,24397.85,ST_FLIP,38.75,69.05,0.561,bull_call_spread,24350,2026-07-09 15:30:00+05:30,0.1339,0,80.16,84.81,3.0,225.0,True
